FEN,EVAL
r2qkbnr/pp1bpppp/2np4/1Bp5/P3P3/1P3Q2/2PP1PPP/RNB1K1NR b KQkq - 3 5,-39.0
r2qkbnr/pp1bpppp/3p4/1Bp5/P2nP3/1P3Q2/2PP1PPP/RNB1K1NR w KQkq - 4 6,-75.0
r2qkbnr/pp1bpppp/3p4/1Bp5/P2nPQ2/1P6/2PP1PPP/RNB1K1NR b KQkq - 5 6,-292.0
r2qkbnr/pp1b1ppp/3p4/1Bp1p3/P2nPQ2/1P6/2PP1PPP/RNB1K1NR w KQkq - 0 7,-292.0
r2qkbnr/pp1b1ppp/3p4/1Bp1p3/P2nP3/1P4Q1/2PP1PPP/RNB1K1NR b KQkq - 1 7,-235.0
r2qkbnr/pp1b1ppp/3p4/1Bp1p3/P3P3/1P4Q1/2nP1PPP/RNBK2NR b kq - 1 8,-298.0
r2qkbnr/pp1b1ppp/3p4/1Bp1p3/P3P3/1P4Q1/3P1PPP/nNBK2NR w kq - 0 9,-412.0
r2qkbnr/pp1b1ppp/3p4/1Bp1p3/P3P3/1PQ5/3P1PPP/nNBK2NR b kq - 1 9,-588.0
r2qkbnr/pp3ppp/3p4/1bp1p3/P3P3/1PQ5/3P1PPP/nNBK2NR w kq - 0 10,-428.0
r2qkbnr/pp3ppp/3p4/1bp1p3/P3P3/1P6/3P1PPP/QNBK2NR b kq - 0 10,-690.0
r3kbnr/pp3ppp/3p4/1bp1p1q1/P3P3/1P6/3P1PPP/QNBK2NR w kq - 1 11,-302.0
r3kbnr/pp3ppp/3p4/1bp1p1q1/P3P3/1P1P4/5PPP/QNBK2NR b kq - 0 11,-515.0
r3kbnr/pp3ppp/3p4/1bp1p3/P3P3/1P1P4/5PqP/QNBK2NR w kq - 0 12,-565.0
r3kbnr/pp3ppp/3p4/1bp1p3/P3P3/1P1P4/4NPqP/QNBK3R b kq - 1 12,-703.0
r3kbnr/pp3ppp/3p4/1bp1p3/P3P3/1P1P4/3KNP1P/QNB4q b kq - 1 13,-621.0
r3kbnr/pp3ppp/3p4/2p1p3/P3P3/1P1b4/3KNP1P/QNB4q w kq - 0 14,-522.0
r3kbnr/pp3ppp/3p4/2p1p3/P3P3/1P1K4/4NP1P/QNB4q b kq - 0 14,-626.0
r3kbnr/pp3ppp/3p4/2p1p3/P1K1P3/1P6/4NP1P/QNBq4 b kq - 2 15,-803.0
r3kbnr/pp3ppp/3p4/2pKp3/P3P3/1P6/4qP1P/QNB5 b kq - 1 16,-1031.0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,19.0
rnbqkbnr/pppp1ppp/4p3/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,19.0
rnbqkbnr/pppp1ppp/4p3/8/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,18.0
rnb1kbnr/pppp1ppp/4pq2/8/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 1 3,53.0
rnb1kbnr/pppp1ppp/4pq2/8/2PP4/5N2/PP2PPPP/RNBQKB1R b KQkq - 2 3,46.0
rnb1kbnr/ppp2ppp/3ppq2/8/2PP4/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 4,76.0
rnb1kbnr/ppp2ppp/3ppq2/6B1/2PP4/5N2/PP2PPPP/RN1QKB1R b KQkq - 1 4,107.0
rnb1kbnr/ppp2ppp/3pp1q1/6B1/2PP4/5N2/PP2PPPP/RN1QKB1R w KQkq - 2 5,74.0
rnb1kbnr/ppp2ppp/3pp1q1/6B1/2PP4/2N2N2/PP2PPPP/R2QKB1R b KQkq - 3 5,89.0
rnb1kbnr/pp3ppp/2ppp1q1/6B1/2PP4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 6,123.0
rnb1kbnr/pp3ppp/2ppp1q1/6B1/2PP4/2N1PN2/PP3PPP/R2QKB1R b KQkq - 0 6,129.0
rnb1kbnr/pp4pp/2ppppq1/6B1/2PP4/2N1PN2/PP3PPP/R2QKB1R w KQkq - 0 7,140.0
rnb1kbnr/pp4pp/2ppppq1/6B1/2PP4/2NBPN2/PP3PPP/R2QK2R b KQkq - 1 7,171.0
