FEN,EVAL
1r3rk1/2q2ppp/p3pnb1/1pbp4/5N2/2P2NP1/PP1Q1PBP/2R1R1K1 w - - 0 19,-172.0
1r3rk1/2q2ppp/p3pnb1/1pbpN3/5N2/2P3P1/PP1Q1PBP/2R1R1K1 b - - 1 19,-167.0
1r3rk1/2q2ppp/p3pn2/1pbpN3/4bN2/2P3P1/PP1Q1PBP/2R1R1K1 w - - 2 20,-229.0
1r3rk1/2q2ppp/p3pn2/1pbpN3/4BN2/2P3P1/PP1Q1P1P/2R1R1K1 b - - 0 20,-121.0
1r3rk1/2q2ppp/p3p3/1pbpN3/4nN2/2P3P1/PP1Q1P1P/2R1R1K1 w - - 0 21,-307.0
1r3rk1/2q2ppp/p3p3/1pbpN3/4RN2/2P3P1/PP1Q1P1P/2R3K1 b - - 0 21,-66.0
1r3rk1/2q2ppp/p3p3/1pb1N3/4pN2/2P3P1/PP1Q1P1P/2R3K1 w - - 0 22,-300.0
1r3rk1/2q2ppp/p3p3/1pb5/4pNN1/2P3P1/PP1Q1P1P/2R3K1 b - - 1 22,-494.0
1r3rk1/2q2ppp/p7/1pb1p3/4pNN1/2P3P1/PP1Q1P1P/2R3K1 w - - 0 23,-340.0
1r3rk1/2q2ppp/p7/1pbNp3/4p1N1/2P3P1/PP1Q1P1P/2R3K1 b - - 1 23,-288.0
1r1r2k1/2q2ppp/p7/1pbNp3/4p1N1/2P3P1/PP1Q1P1P/2R3K1 w - - 2 24,-223.0
1r1r2k1/2q2ppp/p7/1pbNp3/4p1N1/1PP3P1/P2Q1P1P/2R3K1 b - - 0 24,-324.0
1r1r2k1/2q3pp/p7/1pbNpp2/4p1N1/1PP3P1/P2Q1P1P/2R3K1 w - - 0 25,-262.0
1r1r2k1/2q3pp/p7/1pbNpp2/4p3/1PP1N1P1/P2Q1P1P/2R3K1 b - - 1 25,-420.0
1r1r2k1/q5pp/p7/1pbNpp2/4p3/1PP1N1P1/P2Q1P1P/2R3K1 w - - 2 26,-369.0
1r1r2k1/q5pp/p7/1pbNpN2/4p3/1PP3P1/P2Q1P1P/2R3K1 b - - 0 26,-250.0
1r1r2k1/q6p/p5p1/1pbNpN2/4p3/1PP3P1/P2Q1P1P/2R3K1 w - - 0 27,-165.0
1r1r2k1/q6p/p5p1/1pbNp3/4p2N/1PP3P1/P2Q1P1P/2R3K1 b - - 1 27,-333.0
1r3rk1/q6p/p5p1/1pbNp3/4p2N/1PP3P1/P2Q1P1P/2R3K1 w - - 2 28,-297.0
1r3rk1/q6p/p5p1/1pbNp3/4p2N/1PP3P1/P2Q1P1P/5RK1 b - - 3 28,-316.0
3r1rk1/q6p/p5p1/1pbNp3/4p2N/1PP3P1/P2Q1P1P/5RK1 w - - 4 29,-341.0
3r1rk1/q6p/p5p1/1pbNp3/2P1p2N/1P4P1/P2Q1P1P/5RK1 b - - 0 29,-356.0
3r1r2/q5kp/p5p1/1pbNp3/2P1p2N/1P4P1/P2Q1P1P/5RK1 w - - 1 30,-301.0
3r1r2/q5kp/p5p1/1pbNp3/2P1p2N/1P4P1/P3QP1P/5RK1 b - - 2 30,-269.0
3r1r2/q5kp/p5p1/1pbNp3/2P4N/1P2p1P1/P3QP1P/5RK1 w - - 0 31,-272.0
3r1r2/q5kp/p5p1/1pbNp3/2P4N/1P2p1P1/P3QPKP/5R2 b - - 1 31,-301.0
5r2/q5kp/p5p1/1pbrp3/2P4N/1P2p1P1/P3QPKP/5R2 w - - 0 32,-157.0
5r2/q5kp/p5p1/1pbPp3/7N/1P2p1P1/P3QPKP/5R2 b - - 0 32,-151.0
5r2/5qkp/p5p1/1pbPp3/7N/1P2p1P1/P3QPKP/5R2 w - - 1 33,-145.0
5r2/5qkp/p5p1/1pbPp3/7N/1P2P1P1/P3Q1KP/5R2 b - - 0 33,70.0
5r2/6kp/p5p1/1pbqp3/7N/1P2P1P1/P3Q2P/5RK1 b - - 1 34,-119.0
8/6kp/p5p1/1pbqp3/7N/1P2P1P1/P3Q2P/5K2 b - - 0 35,-95.0
8/6kp/p5p1/1pb1p3/7N/1P2P1P1/P3QK1P/7q b - - 2 36,-126.0
8/6kp/p5p1/1pb1p3/7N/1P2P1P1/P3Q2q/4K3 b - - 1 37,-353.0
8/6kp/p5p1/1pb1p3/7N/1P2P1q1/P4Q2/4K3 b - - 1 38,-445.0
8/6kp/p5p1/1pb1p3/7N/1P2q3/P4Q2/5K2 b - - 1 39,-570.0
8/6kp/p5p1/1pb1p3/7N/1P6/P7/2q1QK2 b - - 3 40,-518.0
8/6kp/p5p1/1pb1p3/5q1N/1P6/P5K1/4Q3 b - - 5 41,-610.0
8/6kp/p5p1/1pb1p3/6qN/1P4Q1/P5K1/8 b - - 7 42,-583.0
8/6kp/p5p1/1pb1p3/7N/1P4K1/P7/8 b - - 0 43,-605.0
8/6kp/p5p1/1pb5/4p2N/1P4K1/P7/8 w - - 0 44,-520.0
8/6kp/p5p1/1pb5/4pK1N/1P6/P7/8 b - - 1 44,-568.0
8/6kp/p5p1/1pb5/5K1N/1P2p3/P7/8 w - - 0 45,-486.0
8/6kp/p5p1/1pb5/5K2/1P2pN2/P7/8 b - - 1 45,-588.0
8/6k1/p5pp/1pb5/5K2/1P2pN2/P7/8 w - - 0 46,-487.0
8/6k1/p5pp/1pb5/6K1/1P2pN2/P7/8 b - - 1 46,-614.0
8/8/p4kpp/1pb5/6K1/1P2pN2/P7/8 w - - 2 47,-514.0
8/8/p4kpp/1pb5/5K2/1P2pN2/P7/8 b - - 3 47,-610.0
8/8/p4kp1/1pb4p/5K2/1P2pN2/P7/8 w - - 0 48,-494.0
8/8/p4kp1/1pb4p/1P3K2/4pN2/P7/8 b - - 0 48,-586.0
8/8/pb3kp1/1p5p/1P3K2/4pN2/P7/8 w - - 1 49,-494.0
8/8/pb3kp1/1p5p/1P3K2/4p3/P7/4N3 b - - 2 49,-599.0
rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq - 0 1,16.0
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,19.0
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,7.0
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,17.0
rnbqkbnr/ppp1pppp/8/8/2pP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,6.0
rnbqkbnr/ppp1pppp/8/8/2pP4/4P3/PP3PPP/RNBQKBNR b KQkq - 0 3,-12.0
rnbqkbnr/ppp1pppp/8/8/3P4/2p1P3/PP3PPP/RNBQKBNR w KQkq - 0 4,99.0
rnbqkbnr/ppp1pppp/8/8/3P4/2N1P3/PP3PPP/R1BQKBNR b KQkq - 0 4,69.0
rnb1kbnr/pppqpppp/8/8/3P4/2N1P3/PP3PPP/R1BQKBNR w KQkq - 1 5,126.0
rnb1kbnr/pppqpppp/8/8/3P4/2N1PN2/PP3PPP/R1BQKB1R b KQkq - 2 5,165.0
rnb1kbnr/pppq1ppp/4p3/8/3P4/2N1PN2/PP3PPP/R1BQKB1R w KQkq - 0 6,178.0
rnb1kbnr/pppq1ppp/4p3/8/3P4/2N1PNP1/PP3P1P/R1BQKB1R b KQkq - 0 6,112.0
rnb1kbnr/pppq2pp/4pp2/8/3P4/2N1PNP1/PP3P1P/R1BQKB1R w KQkq - 0 7,166.0
rnb1kbnr/pppq2pp/4pp2/8/3P4/2N1PNP1/PP3PBP/R1BQK2R b KQkq - 1 7,162.0
rnb1kbnr/ppp3pp/2q1pp2/8/3P4/2N1PNP1/PP3PBP/R1BQK2R w KQkq - 2 8,254.0
rnb1kbnr/ppp3pp/2q1pp2/8/3P4/2N1PNP1/PP3PBP/R1BQ1RK1 b kq - 3 8,299.0
rnb1k1nr/ppp3pp/2qbpp2/8/3P4/2N1PNP1/PP3PBP/R1BQ1RK1 w kq - 4 9,363.0
rnb1k1nr/ppp3pp/2qbpp2/4N3/3P4/2N1P1P1/PP3PBP/R1BQ1RK1 b kq - 5 9,294.0
rnb1k1nr/ppp3pp/2q1pp2/4b3/3P4/2N1P1P1/PP3PBP/R1BQ1RK1 w kq - 0 10,270.0
rnb2knr/ppp3pp/2B1pp2/4b3/3P4/2N1P1P1/PP3P1P/R1BQ1RK1 w - - 1 11,842.0
rnb2knr/ppp3pp/2B1pp2/4P3/8/2N1P1P1/PP3P1P/R1BQ1RK1 b - - 0 11,454.0
rnb2knr/ppp3pp/2B1p3/4p3/8/2N1P1P1/PP3P1P/R1BQ1RK1 w - - 0 12,864.0
rnb2knr/ppp3pp/4p3/4p3/8/2N1P1P1/PP3PBP/R1BQ1RK1 b - - 1 12,597.0
rnb2knr/pp4pp/4p3/2p1p3/8/2N1P1P1/PP3PBP/R1BQ1RK1 w - - 0 13,1076.0
rnbQ2nr/pp3kpp/4p3/2p1p3/8/2N1P1P1/PP3PBP/R1B2RK1 w - - 2 14,1025.0
rnQ3nr/pp3kpp/4p3/2p1p3/8/2N1P1P1/PP3PBP/R1B2RK1 b - - 0 14,720.0
rnQ3nr/pp4pp/4pk2/2p1p3/8/2N1P1P1/PP3PBP/R1B2RK1 w - - 1 15,1365.0
rn3Qnr/pp4pp/4p1k1/2p1p3/8/2N1P1P1/PP3PBP/R1B2RK1 w - - 3 16,1258.0
rn3Qnr/pp4pp/4p2k/2p1p3/4B3/2N1P1P1/PP3P1P/R1B2RK1 w - - 5 17,1355.0
rn4nr/pp2Q1pp/4p2k/2p1p3/4B3/2N1P1P1/PP3P1P/R1B2RK1 b - - 6 17,412.0
rn4nr/p3Q1pp/4p2k/1pp1p3/4B3/2N1P1P1/PP3P1P/R1B2RK1 w - - 0 18,1301.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,27.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,13.0
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,11.0
r1bqkbnr/pppp1ppp/2n5/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 2 3,26.0
r1bqkbnr/pppp1ppp/2n5/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R b KQkq - 3 3,4.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/5N2/PPPP1PPP/RNBQK2R w KQkq - 4 4,9.0
r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R b KQkq - 0 4,-7.0
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5,10.0
r1bqk2r/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 b kq - 2 5,5.0
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/3P1N2/PPP2PPP/RNBQ1RK1 w - - 3 6,14.0
r1bq1rk1/pppp1ppp/2n2n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 b - - 4 6,4.0
r1bq1rk1/1ppp1ppp/p1n2n2/2b1p3/2B1P3/2NP1N2/PPP2PPP/R1BQ1RK1 w - - 0 7,22.0
r1bq1rk1/1ppp1ppp/p1n2n2/2b1p3/P1B1P3/2NP1N2/1PP2PPP/R1BQ1RK1 b - - 0 7,7.0
r1bq1rk1/1ppp1ppp/p4n2/2b1p3/P1BnP3/2NP1N2/1PP2PPP/R1BQ1RK1 w - - 1 8,37.0
r1bq1rk1/1ppp1ppp/p4n2/2b1p1B1/P1BnP3/2NP1N2/1PP2PPP/R2Q1RK1 b - - 2 8,24.0
r1bq1rk1/1p1p1ppp/p1p2n2/2b1p1B1/P1BnP3/2NP1N2/1PP2PPP/R2Q1RK1 w - - 0 9,13.0
r1bq1rk1/1p1p1ppp/p1p2n2/2b1N1B1/P1BnP3/2NP4/1PP2PPP/R2Q1RK1 b - - 0 9,61.0
r1bq1rk1/1p3ppp/p1p2n2/2bpN1B1/P1BnP3/2NP4/1PP2PPP/R2Q1RK1 w - - 0 10,42.0
r1bq1rk1/1p3ppp/p1p2n2/2bPN1B1/P1Bn4/2NP4/1PP2PPP/R2Q1RK1 b - - 0 10,153.0
r1bq1rk1/1p3ppp/p4n2/2bpN1B1/P1Bn4/2NP4/1PP2PPP/R2Q1RK1 w - - 0 11,80.0
r1bq1rk1/1p3ppp/p4n2/2bNN1B1/P1Bn4/3P4/1PP2PPP/R2Q1RK1 b - - 0 11,233.0
r2q1rk1/1p3ppp/p3bn2/2bNN1B1/P1Bn4/3P4/1PP2PPP/R2Q1RK1 w - - 1 12,265.0
r2q1rk1/1p3p1p/p3bp2/2b1N1B1/P1Bn4/3P4/1PP2PPP/R2Q1RK1 w - - 0 13,264.0
r2q1rk1/1p3p1p/p3bp2/2b1N3/P1Bn3B/3P4/1PP2PPP/R2Q1RK1 b - - 1 13,250.0
r2q1rk1/1p3p1p/p4p2/2b1N3/P1bn3B/3P4/1PP2PPP/R2Q1RK1 w - - 0 14,223.0
r2q1rk1/1p3p1p/p4p2/2b1N3/P1Pn3B/8/1PP2PPP/R2Q1RK1 b - - 0 14,291.0
r2q1rk1/1p3p1p/p4p2/2b1Nn2/P1P4B/8/1PP2PPP/R2Q1RK1 w - - 1 15,380.0
r2q1rk1/1p3pnp/p4p2/2b1N3/P1P3QB/8/1PP2PPP/R4RK1 w - - 3 16,470.0
r2q1rk1/1p3pnp/p4p2/2b1N3/P1P3QB/8/1PP2PPP/3R1RK1 b - - 4 16,468.0
r2q1rk1/1p3pnp/p4p2/4N3/P1Pb2QB/8/1PP2PPP/3R1RK1 w - - 5 17,566.0
r2q1rk1/1p3pnp/p4p2/8/P1Pb2QB/5N2/1PP2PPP/3R1RK1 b - - 6 17,447.0
r2q1rk1/1p3pnp/p4p2/8/P1P3QB/5N2/1PP2KPP/3R1R2 b - - 0 18,501.0
r4rk1/1p3pnp/pq3p2/8/P1PQ3B/5N2/1PP2KPP/3R1R2 b - - 2 19,364.0
r4rk1/1p3pnp/p4p2/8/P1PN3B/8/1PP2KPP/3R1R2 b - - 0 20,564.0
r4rk1/1p3p1p/p4p2/7n/P1PN3B/8/1PP2KPP/3R1R2 w - - 1 21,729.0
r4rk1/1p3p1p/p4p2/7n/P1PN3B/8/1PP3PP/3R1RK1 b - - 2 21,618.0
r4r2/1p3pkp/p4p2/7n/P1PN3B/8/1PP3PP/3R1RK1 w - - 3 22,755.0
r4r2/1p3p1p/p4pk1/5N1n/P1P4B/8/1PP3PP/3R1RK1 w - - 5 23,751.0
r4r2/1p2Npkp/p4p2/7n/P1P4B/8/1PP3PP/3R1RK1 w - - 7 24,719.0
r4r2/1p2Npkp/p4p2/5R1n/P1P4B/8/1PP3PP/3R2K1 b - - 8 24,564.0
r4r2/1p2Np1p/p4p1k/5R1n/P1P4B/8/1PP3PP/3R2K1 w - - 9 25,688.0
r4r2/1p2Np1p/p4p1k/3R1R1n/P1P4B/8/1PP3PP/6K1 b - - 10 25,545.0
4rr2/1p2Np1p/p4p1k/3R1R1n/P1P4B/8/1PP3PP/6K1 w - - 11 26,542.0
4rr2/1p2Npkp/p4p2/3R3R/P1P4B/8/1PP3PP/6K1 w - - 1 27,543.0
4rr2/1p3p1p/p4pk1/3R1N1R/P1P4B/8/1PP3PP/6K1 w - - 3 28,605.0
4rr2/1p3p1p/p4pk1/3R3R/P1P4B/6N1/1PP3PP/6K1 b - - 4 28,583.0
4rr2/1p3p2/p4pkp/3R3R/P1P4B/6N1/1PP3PP/6K1 w - - 0 29,501.0
4rr2/1p3p2/p4pkp/3R1R2/P1P4B/6N1/1PP3PP/6K1 b - - 1 29,639.0
5r2/1p3p2/p3rpkp/3R1R2/P1P4B/6N1/1PP3PP/6K1 w - - 2 30,583.0
5r2/1p3p2/p3rpkp/3R1R2/P1P4B/6N1/1PP2KPP/8 b - - 3 30,586.0
4r3/1p3p2/p3rpkp/3R1R2/P1P4B/6N1/1PP2KPP/8 w - - 4 31,558.0
4r3/1p3p2/p3rpkp/3R4/P1P2R1B/6N1/1PP2KPP/8 b - - 5 31,614.0
4r3/1p3p2/p3rpk1/3R3p/P1P2R1B/6N1/1PP2KPP/8 w - - 0 32,532.0
4r3/1p1R1p2/p3rpk1/7p/P1P2R1B/6N1/1PP2KPP/8 b - - 1 32,583.0
4r3/1p1R1p2/p3r1k1/5p1p/P1P2R1B/6N1/1PP2KPP/8 w - - 0 33,533.0
4r3/1p1R1p2/p3r1k1/5R1p/P1P4B/6N1/1PP2KPP/8 b - - 0 33,532.0
4r3/1p1R1p2/p5k1/5R1p/P1P4B/8/1PP1NKPP/8 b - - 0 34,589.0
4r3/1p1R1p2/p7/5k1p/P1P4B/8/1PP1NKPP/8 w - - 0 35,791.0
4r3/1p3R2/p7/7p/P1P3kB/8/1PP1NKPP/8 w - - 1 36,771.0
4r3/1p3R2/p7/7p/P1P3kB/6P1/1PP1NK1P/8 b - - 0 36,571.0
4r3/1p3R2/p7/7p/P1P4B/6Pk/1PP1NK1P/8 w - - 1 37,695.0
4r3/1p5R/p7/7p/P1P4B/6Pk/1PP1NK1P/8 b - - 2 37,518.0
4r3/7R/p7/1p5p/P1P4B/6Pk/1PP1NK1P/8 w - - 0 38,693.0
4r3/7R/p7/1p5p/P1P4B/5KPk/1PP1N2P/8 b - - 1 38,451.0
5r2/7R/p7/1p5p/P1P2N1B/5KP1/1PP4k/8 w - - 0 40,774.0
5r2/8/p7/1p5R/P1P2N1B/5KP1/1PP4k/8 b - - 0 40,653.0
5r2/8/p7/1p5R/P1P2N1B/5KP1/1PP5/6k1 w - - 1 41,729.0
5r2/4B3/p7/1p5R/P1P2N2/5KP1/1PP5/6k1 b - - 2 41,738.0
2r5/4B3/p7/1p5R/P1P2N2/5KP1/1PP5/6k1 w - - 3 42,805.0
2r5/4B3/p7/1P5R/P4N2/5KP1/1PP5/6k1 b - - 0 42,706.0
2r5/4B3/8/1p5R/P4N2/5KP1/1PP5/6k1 w - - 0 43,876.0
2r5/4B3/8/1P5R/5N2/5KP1/1PP5/6k1 b - - 0 43,681.0
8/4B3/8/1P5R/5N2/5KP1/1Pr5/6k1 w - - 0 44,865.0
8/4B3/8/1P5R/1P3N2/5KP1/2r5/6k1 b - - 0 44,580.0
8/4B3/8/1P5R/1P3NK1/6P1/5r2/6k1 b - - 2 45,544.0
8/4B3/8/1P5R/1P3NK1/6P1/1r6/6k1 w - - 3 46,822.0
8/4B3/1P6/7R/1P3NK1/6P1/1r6/6k1 b - - 0 46,638.0
rnbqkbnr/pppppppp/8/8/8/4P3/PPPP1PPP/RNBQKBNR b KQkq - 0 1,10.0
rnbqkbnr/ppp1pppp/8/3p4/8/4P3/PPPP1PPP/RNBQKBNR w KQkq - 0 2,6.0
rnbqkbnr/ppp1pppp/8/3p4/8/1P2P3/P1PP1PPP/RNBQKBNR b KQkq - 0 2,-8.0
rnbqkbnr/ppp2ppp/8/3pp3/8/1P2P3/P1PP1PPP/RNBQKBNR w KQkq - 0 3,-35.0
rnbqkbnr/ppp2ppp/8/3pp3/8/1P2P3/PBPP1PPP/RN1QKBNR b KQkq - 1 3,-22.0
r1bqkbnr/pppn1ppp/8/3pp3/8/1P2P3/PBPP1PPP/RN1QKBNR w KQkq - 2 4,-15.0
r1bqkbnr/pppn1ppp/8/3pp3/8/1P2P1P1/PBPP1P1P/RN1QKBNR b KQkq - 0 4,-35.0
r1bqk1nr/pppn1ppp/8/2bpp3/8/1P2P1P1/PBPP1P1P/RN1QKBNR w KQkq - 1 5,-10.0
r1bqk1nr/pppn1ppp/8/2bpp3/8/1P2P1P1/PBPP1PBP/RN1QK1NR b KQkq - 2 5,-9.0
r1bqk1nr/pppn1ppp/8/2b1p3/3p4/1P2P1P1/PBPP1PBP/RN1QK1NR w KQkq - 0 6,20.0
r1bqk1nr/pppn1ppp/8/2b1p3/3p4/1P2PQP1/PBPP1PBP/RN2K1NR b KQkq - 1 6,-27.0
r1bqk1nr/pppn2pp/5p2/2b1p3/3p4/1P2PQP1/PBPP1PBP/RN2K1NR w KQkq - 0 7,39.0
r1bqk1nr/pppn3p/5pp1/2b1p2Q/3p4/1P2P1P1/PBPP1PBP/RN2K1NR w KQkq - 0 8,35.0
r1bqk1nr/pppn3p/5pp1/2b1p3/3p4/1P2P1P1/PBPPQPBP/RN2K1NR b KQkq - 1 8,28.0
r1bqk1nr/ppp4p/1n3pp1/2b1p3/3p4/1P2P1P1/PBPPQPBP/RN2K1NR w KQkq - 2 9,70.0
r1bqk1nr/ppp4p/1n3pp1/2b1p3/3p4/1P2P1PN/PBPPQPBP/RN2K2R b KQkq - 3 9,16.0
r2qk1nr/ppp4p/1n2bpp1/2b1p3/3p4/1P2P1PN/PBPPQPBP/RN2K2R w KQkq - 4 10,28.0
r2qk1nr/ppp4p/1n2bpp1/2b1p3/3p4/1P2P1PN/PBPPQPBP/RN3RK1 b kq - 5 10,7.0
r2qk1nr/ppp4p/4bpp1/2bnp3/3p4/1P2P1PN/PBPPQPBP/RN3RK1 w kq - 6 11,27.0
r2qk1nr/ppp4p/4bpp1/2bnp3/3P4/1P4PN/PBPPQPBP/RN3RK1 b kq - 0 11,161.0
r2qk1nr/ppp4p/4bpp1/2b1p3/1n1P4/1P4PN/PBPPQPBP/RN3RK1 w kq - 1 12,298.0
r2qk1nr/pp5p/2p1bpp1/1Qb1p3/1n1P4/1P4PN/PBPP1PBP/RN3RK1 w kq - 0 13,56.0
r2qk1nr/pp5p/2p1bpp1/2Q1p3/1n1P4/1P4PN/PBPP1PBP/RN3RK1 b kq - 0 13,333.0
r2qk1nr/1p5p/2p1bpp1/p1Q1p3/1n1P4/1P4PN/PBPP1PBP/RN3RK1 w kq - 0 14,430.0
r2qk1nr/1p5p/2p1bpp1/p1Q1P3/1n6/1P4PN/PBPP1PBP/RN3RK1 b kq - 0 14,467.0
r2qk1nr/1p5p/2p1b1p1/p1Q1p3/1n6/1P4PN/PBPP1PBP/RN3RK1 w kq - 0 15,715.0
r2qk1nr/1p5p/2p1b1p1/p3Q3/1n6/1P4PN/PBPP1PBP/RN3RK1 b kq - 0 15,649.0
r2qk2r/1p5p/2p1bnp1/p3Q3/1n6/1P4PN/PBPP1PBP/RN3RK1 w kq - 1 16,832.0
r2q1k1r/1p5p/2p1Qnp1/p7/1n6/1P4PN/PBPP1PBP/RN3RK1 w - - 1 17,1129.0
r2q1k1r/1p5p/2p1QBp1/p7/1n6/1P4PN/P1PP1PBP/RN3RK1 b - - 0 17,686.0
r4k1r/1p5p/2p1QBp1/p7/1n1q4/1P4PN/P1PP1PBP/RN3RK1 w - - 1 18,1295.0
r4k1r/1p5p/2p1Q1p1/p7/1n1B4/1P4PN/P1PP1PBP/RN3RK1 b - - 0 18,1125.0
r4k1r/1p5p/2p1Q1p1/p7/3B4/1P4PN/P1nP1PBP/RN3RK1 w - - 0 19,1427.0
r5kr/1p5p/2p2Qp1/p7/3B4/1P4PN/P1nP1PBP/RN3RK1 w - - 2 20,1252.0
r6Q/1p3k1p/2p3p1/p7/3B4/1P4PN/P1nP1PBP/RN3RK1 w - - 1 21,1326.0
Q7/1p3k1p/2p3p1/p7/3B4/1P4PN/P1nP1PBP/RN3RK1 b - - 0 21,1091.0
Q7/1p3k1p/2p3p1/p7/3B4/1P4PN/P2P1PBP/nN3RK1 w - - 0 22,1528.0
Q7/1p3k1p/2p3p1/p7/8/1P4PN/P2P1PBP/BN3RK1 b - - 0 22,1374.0
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,27.0
rnbqkbnr/pppp1ppp/4p3/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,44.0
rnbqkbnr/pppp1ppp/4p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,41.0
rnbqkbnr/p1pp1ppp/1p2p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,67.0
rnbqkbnr/p1pp1ppp/1p2p3/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq - 1 3,46.0
rn1qkbnr/pbpp1ppp/1p2p3/8/4P3/2N2N2/PPPP1PPP/R1BQKB1R w KQkq - 2 4,52.0
rn1qkbnr/pbpp1ppp/1p2p3/8/4P3/2NP1N2/PPP2PPP/R1BQKB1R b KQkq - 0 4,22.0
rn1qkbnr/pbpp1p1p/1p2p1p1/8/4P3/2NP1N2/PPP2PPP/R1BQKB1R w KQkq - 0 5,53.0
rn1qkbnr/pbpp1p1p/1p2p1p1/6B1/4P3/2NP1N2/PPP2PPP/R2QKB1R b KQkq - 1 5,62.0
rn1qkbnr/pbpp3p/1p2ppp1/6B1/4P3/2NP1N2/PPP2PPP/R2QKB1R w KQkq - 0 6,53.0
rn1qkbnr/pbpp3p/1p2ppp1/8/4P3/2NPBN2/PPP2PPP/R2QKB1R b KQkq - 1 6,49.0
rn1qk1nr/pbpp2bp/1p2ppp1/8/4P3/2NPBN2/PPP2PPP/R2QKB1R w KQkq - 2 7,50.0
rn1qk1nr/pbpp2bp/1p2ppp1/8/4P3/2NPBN2/PPP1BPPP/R2QK2R b KQkq - 3 7,36.0
rn1qk1nr/pbpp2bp/1p2p1p1/5p2/4P3/2NPBN2/PPP1BPPP/R2QK2R w KQkq - 0 8,27.0
rn1qk1nr/pbpp2bp/1p2p1p1/4Pp2/8/2NPBN2/PPP1BPPP/R2QK2R b KQkq - 0 8,-6.0
rn1qk1nr/pbp3bp/1p1pp1p1/4Pp2/8/2NPBN2/PPP1BPPP/R2QK2R w KQkq - 0 9,51.0
rn1qk1nr/pbp3bp/1p1Pp1p1/5p2/8/2NPBN2/PPP1BPPP/R2QK2R b KQkq - 0 9,70.0
rn2k1nr/pbp3bp/1p1qp1p1/5p2/8/2NPBN2/PPP1BPPP/R2QK2R w KQkq - 0 10,7.0
rn2k1nr/pbp3bp/1p1qp1p1/5p2/8/2NPBN2/PPP1BPPP/R2Q1RK1 b kq - 1 10,3.0
r3k1nr/pbp3bp/np1qp1p1/5p2/8/2NPBN2/PPP1BPPP/R2Q1RK1 w kq - 2 11,56.0
r3k1nr/pbp3bp/np1qp1p1/5p2/8/2NPBN1P/PPP1BPP1/R2Q1RK1 b kq - 0 11,10.0
2kr2nr/pbp3bp/np1qp1p1/5p2/8/2NPBN1P/PPP1BPP1/R2Q1RK1 w - - 1 12,20.0
2kr2nr/pbp3bp/np1qp1p1/5p2/P7/2NPBN1P/1PP1BPP1/R2Q1RK1 b - - 0 12,30.0
2kr2nr/pbp3bp/np2p1p1/5p2/Pq6/2NPBN1P/1PP1BPP1/R2Q1RK1 w - - 1 13,96.0
2kr2nr/pbp3bp/np2p1p1/1N3p2/Pq6/3PBN1P/1PP1BPP1/R2Q1RK1 b - - 2 13,107.0
2kr2nr/pbp3bp/np2p1p1/1N3p2/P7/3PBN1P/1qP1BPP1/R2Q1RK1 w - - 0 14,166.0
1k1r2nr/Nbp3bp/np2p1p1/5p2/P7/3PBN1P/1qP1BPP1/R2Q1RK1 w - - 1 15,165.0
1k1r2nr/1bp3bp/np2p1p1/1N3p2/P7/3PBN1P/1qP1BPP1/R2Q1RK1 b - - 2 15,183.0
1k1r2nr/1b4bp/npp1p1p1/1N3p2/P7/3PBN1P/1qP1BPP1/R2Q1RK1 w - - 0 16,263.0
1k1r2nr/1b4bp/nBp1p1p1/1N3p2/P7/3P1N1P/1qP1BPP1/R2Q1RK1 b - - 0 16,280.0
